 ,S,t(s.),S0,iteracoes,earliness0,tardiness0,earliness,tardiness,S Dos Santos(2010),S Wang & Li(2014),S Ahmadian (2021),earliness diff,tardiness diff
tight-equal_10x2_1,1266.7,_,1278.56,2,413.56,865.0,401.7,865.0,461.96,461.96,461.96,-2.87%,0.0%
tight-equal_10x2_2,595.45,_,595.45,1,22.37,573.08,22.37,573.08,448.32,448.32,448.32,0.0%,0.0%
tight-equal_10x5_1,1767.13,_,1849.11,10,960.31,888.8,903.19,863.94,689.11,689.11,689.11,-5.95%,-2.8%
tight-equal_10x5_2,1442.97,_,1442.97,1,106.0,1336.97,106.0,1336.97,770.49,764.03,763.24,0.0%,0.0%
tight-equal_10x10_1,4307.64,_,4419.24,6,455.64,3963.6,436.22,3871.42,1276.23,1277.44,1276.23,-4.26%,-2.33%
tight-equal_10x10_2,5917.66,_,5939.23,2,4065.27,1873.96,4043.7,1873.96,1885.25,1871.23,1866.92,-0.53%,0.0%
loose-equal_10x2_1,369.44,_,382.32,3,69.42,312.9,67.21,302.23,224.84,224.84,224.84,-3.18%,-3.41%
loose-equal_10x2_2,709.95,_,718.67,3,592.89,125.78,589.87,120.08,323.43,319.37,319.37,-0.51%,-4.53%
loose-equal_10x5_1,3173.83,_,3200.96,2,399.71,2801.25,399.71,2774.12,1733.38,1738.05,1719.63,0.0%,-0.97%
loose-equal_10x5_2,2474.02,_,2510.68,2,1087.65,1423.03,1087.65,1386.37,968.89,967.73,967.73,0.0%,-2.58%
loose-equal_10x10_1,6008.33,_,6057.01,5,6055.48,1.53,6006.8,1.53,366.77,365.81,364.39,-0.8%,0.0%
loose-equal_10x10_2,2271.53,_,2271.53,1,2271.11,0.42,2271.11,0.42,249.85,252.99,249.85,0.0%,0.0%
tight-tard_10x2_1,311.85,_,311.85,1,87.29,224.56,87.29,224.56,179.46,179.46,179.46,0.0%,0.0%
tight-tard_10x2_2,431.56,_,445.83,5,150.62,295.21,136.35,295.21,145.37,145.37,145.37,-9.47%,0.0%
tight-tard_10x5_1,811.39,_,854.85,6,487.24,367.61,479.0,332.39,380.82,380,379.19,-1.69%,-9.58%
tight-tard_10x5_2,1649.88,_,1685.8,6,87.58,1598.22,82.18,1567.7,627.45,628.68,627.45,-6.17%,-1.91%
tight-tard_10x10_1,2246.17,_,2259.53,2,671.38,1588.15,671.38,1574.79,717.85,746.03,668.14,0.0%,-0.84%
tight-tard_10x10_2,2718.62,_,2816.44,6,2376.8,439.64,2371.16,347.46,780.82,785.79,777.85,-0.24%,-20.97%
