instancia,N5,N7 (apos N5),t(s.),S0,iteracoes,earliness0,tardiness0,earliness,tardiness,S Dos Santos(2010),S Wang & Li(2014),S Ahmadian (2021)
tight-equal_10x2_1,1266.7,1081.63,_,1278.56,7,413.56,865.0,294.2,787.43,461.96,461.96,461.96
tight-equal_10x2_2,595.45,523.92,_,595.45,4,22.37,573.08,22.37,501.55,448.32,448.32,448.32
tight-equal_10x5_1,1767.13,1767.13,_,1849.11,1,960.31,888.8,903.19,863.94,689.11,689.11,689.11
tight-equal_10x5_2,1442.97,1442.97,_,1442.97,1,106.0,1336.97,106.0,1336.97,770.49,764.03,763.24
tight-equal_10x10_1,4307.64,4277.17,_,4419.24,2,455.64,3963.6,436.22,3840.95,1276.23,1277.44,1276.23
tight-equal_10x10_2,5917.66,5917.66,_,5939.23,1,4065.27,1873.96,4043.7,1873.96,1885.25,1871.23,1866.92
loose-equal_10x2_1,369.44,324.03,_,382.32,3,69.42,312.9,60.35,263.68,224.84,224.84,224.84
loose-equal_10x2_2,709.95,589.96,_,718.67,4,592.89,125.78,466.94,123.02,323.43,319.37,319.37
loose-equal_10x5_1,3173.83,2920.15,_,3200.96,3,399.71,2801.25,399.71,2520.44,1733.38,1738.05,1719.63
loose-equal_10x5_2,2474.02,2474.02,_,2510.68,1,1087.65,1423.03,1087.65,1386.37,968.89,967.73,967.73
loose-equal_10x10_1,6008.33,6008.33,_,6057.01,1,6055.48,1.53,6006.8,1.53,366.77,365.81,364.39
loose-equal_10x10_2,2271.53,2271.53,_,2271.53,1,2271.11,0.42,2271.11,0.42,249.85,252.99,249.85
tight-tard_10x2_1,311.85,266.91,_,311.85,4,87.29,224.56,87.29,179.62,179.46,179.46,179.46
tight-tard_10x2_2,431.56,319.98,_,445.83,5,150.62,295.21,163.75,156.23,145.37,145.37,145.37
tight-tard_10x5_1,811.39,811.39,_,854.85,1,487.24,367.61,479.0,332.39,380.82,380,379.19
tight-tard_10x5_2,1649.88,1649.88,_,1685.8,1,87.58,1598.22,82.18,1567.7,627.45,628.68,627.45
tight-tard_10x10_1,2246.17,2246.17,_,2259.53,1,671.38,1588.15,671.38,1574.79,717.85,746.03,668.14
tight-tard_10x10_2,2718.62,2688.15,_,2816.44,2,2376.8,439.64,2371.16,316.99,780.82,785.79,777.85
loose-tard_10x2_1,540.4,511.67,_,545.87,6,56.87,489.0,50.27,461.4,416.44,416.44,416.44
loose-tard_10x2_2,341.25,231.43,_,352.99,3,138.09,214.9,142.8,88.63,137.94,137.94,137.94
loose-tard_10x5_1,918.4,910.81,_,918.4,3,917.2,1.2,909.61,1.2,175.08,175.08,175.08
loose-tard_10x5_2,940.52,940.52,_,953.42,1,104.03,849.39,104.03,836.49,525.88,499.93,485.06
loose-tard_10x10_1,1659.21,1659.21,_,1667.25,1,1574.06,93.19,1566.02,93.19,383.84,380.26,374.2
loose-tard_10x10_2,752.39,752.39,_,752.39,1,744.02,8.37,744.02,8.37,144.94,144.94,144.94
tight-equal_15x2_1,6326.63,4741.21,_,6450.84,5,242.51,6208.33,126.15,4615.06,3344.54,3344.54,3344.54
tight-equal_15x2_2,2074.23,1776.46,_,2074.23,5,5.3,2068.93,8.38,1768.08,1479.76,1479.76,1479.76
tight-equal_15x5_1,2919.99,2919.99,_,2937.01,1,523.83,2413.18,523.0,2396.99,1369.06,1345.21,1342.3
tight-equal_15x5_2,5345.56,5324.57,_,5426.41,2,148.28,5278.13,139.03,5185.54,2630.06,2709.13,2641.28
tight-equal_15x10_1,15453.4,15300.8,_,15494.1,2,68.3,15425.8,68.3,15232.5,7380.76,8120.43,6820.87
tight-equal_15x10_2,10933.9,10933.9,_,10942.5,1,1497.38,9445.1,1488.78,9445.1,4893.44,4966.34,4760.48
loose-equal_15x2_1,1479.42,1432.01,_,1497.56,4,31.54,1466.02,21.5,1410.51,1041.33,1041.33,1041.33
loose-equal_15x2_2,983.9,862.31,_,988.9,8,564.49,424.41,445.6,416.71,497.97,514.72,512.54
loose-equal_15x5_1,5748.83,5400.07,_,5815.11,2,585.41,5229.7,559.73,4840.34,3220.16,3321.54,3272.46
loose-equal_15x5_2,5913.71,5650.64,_,5926.45,7,1509.73,4416.72,1483.13,4167.51,3357.53,3310.27,3260.81
loose-equal_15x10_1,3572.17,3556.89,_,3573.43,3,2999.39,574.04,3003.53,553.36,1008.28,977.43,906.49
loose-equal_15x10_2,7731.91,7730.05,_,7731.91,2,7618.64,113.27,7619.99,110.06,1720.18,1584.44,1487.33
tight-tard_15x2_1,1237.98,1082.54,_,1239.61,3,158.51,1081.1,156.88,925.66,790.5,790.66,790.5
tight-tard_15x2_2,1162.27,1108.27,_,1163.03,4,18.7,1144.33,17.94,1090.33,905.37,905.37,905.37
tight-tard_15x5_1,2687.57,2616.96,_,2689.85,2,127.42,2562.43,125.14,2491.82,1371.37,1476.65,1359.18
tight-tard_15x5_2,1760.05,1760.05,_,1771.65,1,419.97,1351.68,412.78,1347.27,691.1,725.72,681.27
tight-tard_15x10_1,2182.58,2182.58,_,2211.08,1,2154.13,56.95,2137.47,45.11,800.87,832.08,767.26
tight-tard_15x10_2,4627.7,4508.9,_,4628.42,2,426.53,4201.89,425.81,4083.09,1310.04,1452.9,1224.82
loose-tard_15x2_1,930.74,923.46,_,935.74,4,39.18,896.56,26.67,896.79,654.84,654.84,654.84
loose-tard_15x2_2,510.61,475.39,_,515.61,5,352.33,163.28,319.81,155.58,279.71,297.54,285.16
loose-tard_15x5_1,2937.41,2696.69,_,2937.41,2,351.11,2586.3,351.11,2345.58,1320.93,1315.47,1281
loose-tard_15x5_2,860.59,843.3,_,887.54,2,848.15,39.39,807.83,35.47,239.47,335.55,328.26
loose-tard_15x10_1,1635.51,1635.51,_,1635.62,1,1574.0,61.62,1573.45,62.06,297.19,296.6,277
loose-tard_15x10_2,2809.5,2755.7,_,2809.5,3,395.13,2414.37,395.13,2360.57,713.97,664.13,601.24
