instancia,S,t(s.),S0,iteracoes,earliness0,tardiness0,earliness,tardiness,S Dos Santos(2010),S Wang & Li(2014),S Ahmadian (2021),earliness diff,tardiness diff
tight-equal_10x2_1,1049.02,_,1278.56,11,413.56,865.0,294.2,754.82,461.96,461.96,461.96,-28.86%,-12.74%
tight-equal_10x2_2,523.92,_,595.45,4,22.37,573.08,22.37,501.55,448.32,448.32,448.32,0.0%,-12.48%
tight-equal_10x5_1,1777.43,_,1849.11,2,960.31,888.8,960.31,817.12,689.11,689.11,689.11,0.0%,-8.06%
tight-equal_10x5_2,1442.97,_,1442.97,1,106.0,1336.97,106.0,1336.97,770.49,764.03,763.24,0.0%,0.0%
tight-equal_10x10_1,4215.65,_,4419.24,3,455.64,3963.6,455.64,3760.01,1276.23,1277.44,1276.23,0.0%,-5.14%
tight-equal_10x10_2,5939.23,_,5939.23,1,4065.27,1873.96,4065.27,1873.96,1885.25,1871.23,1866.92,0.0%,0.0%
loose-equal_10x2_1,316.85,_,382.32,5,69.42,312.9,39.76,277.09,224.84,224.84,224.84,-42.73%,-11.44%
loose-equal_10x2_2,589.96,_,718.67,6,592.89,125.78,466.94,123.02,323.43,319.37,319.37,-21.24%,-2.19%
loose-equal_10x5_1,2947.28,_,3200.96,3,399.71,2801.25,399.71,2547.57,1733.38,1738.05,1719.63,0.0%,-9.06%
loose-equal_10x5_2,2474.02,_,2510.68,2,1087.65,1423.03,1087.65,1386.37,968.89,967.73,967.73,0.0%,-2.58%
loose-equal_10x10_1,6027.13,_,6057.01,2,6055.48,1.53,6025.6,1.53,366.77,365.81,364.39,-0.49%,0.0%
loose-equal_10x10_2,2271.53,_,2271.53,1,2271.11,0.42,2271.11,0.42,249.85,252.99,249.85,0.0%,0.0%
tight-tard_10x2_1,266.91,_,311.85,4,87.29,224.56,87.29,179.62,179.46,179.46,179.46,0.0%,-20.01%
tight-tard_10x2_2,408.94,_,445.83,2,150.62,295.21,150.62,258.32,145.37,145.37,145.37,0.0%,-12.5%
tight-tard_10x5_1,800.43,_,854.85,2,487.24,367.61,489.05,311.38,380.82,380,379.19,0.37%,-15.3%
tight-tard_10x5_2,1614.12,_,1685.8,2,87.58,1598.22,87.58,1526.54,627.45,628.68,627.45,0.0%,-4.48%
tight-tard_10x10_1,2246.17,_,2259.53,2,671.38,1588.15,671.38,1574.79,717.85,746.03,668.14,0.0%,-0.84%
tight-tard_10x10_2,2642.14,_,2816.44,3,2376.8,439.64,2381.15,260.99,780.82,785.79,777.85,0.18%,-40.64%
loose-tard_10x2_1,510.3,_,545.87,6,56.87,489.0,50.27,460.03,416.44,416.44,416.44,-11.61%,-5.92%
loose-tard_10x2_2,263.49,_,352.99,2,138.09,214.9,143.95,119.54,137.94,137.94,137.94,4.24%,-44.37%
loose-tard_10x5_1,910.81,_,918.4,3,917.2,1.2,909.61,1.2,175.08,175.08,175.08,-0.83%,0.0%
loose-tard_10x5_2,940.52,_,953.42,2,104.03,849.39,104.03,836.49,525.88,499.93,485.06,0.0%,-1.52%
loose-tard_10x10_1,1667.25,_,1667.25,1,1574.06,93.19,1574.06,93.19,383.84,380.26,374.2,0.0%,0.0%
loose-tard_10x10_2,752.39,_,752.39,1,744.02,8.37,744.02,8.37,144.94,144.94,144.94,0.0%,0.0%
tight-equal_15x2_1,6366.43,_,6450.84,5,242.51,6208.33,242.51,6123.92,3344.54,3344.54,3344.54,0.0%,-1.36%
tight-equal_15x2_2,1776.46,_,2074.23,5,5.3,2068.93,8.38,1768.08,1479.76,1479.76,1479.76,58.11%,-14.54%
tight-equal_15x5_1,2932.6,_,2937.01,2,523.83,2413.18,523.83,2408.77,1369.06,1345.21,1342.3,0.0%,-0.18%
