instancia,S,t(s.),S0,iteracoes,earliness0,tardiness0,earliness,tardiness,S Dos Santos(2010),S Wang & Li(2014),S Ahmadian (2021),earliness diff,tardiness diff
tight-equal_10x2_1,915.34,_,1278.56,24,413.56,865.0,177.41,737.93,461.96,461.96,461.96,-57.1%,-14.69%
tight-equal_10x2_2,509.89,_,595.45,11,22.37,573.08,14.67,495.22,448.32,448.32,448.32,-34.42%,-13.59%
tight-equal_10x5_1,1619.82,_,1849.11,17,960.31,888.8,756.69,863.13,689.11,689.11,689.11,-21.2%,-2.89%
tight-equal_10x5_2,1393.48,_,1442.97,13,106.0,1336.97,80.95,1312.53,770.49,764.03,763.24,-23.63%,-1.83%
tight-equal_10x10_1,4267.48,_,4419.24,11,455.64,3963.6,435.66,3831.82,1276.23,1277.44,1276.23,-4.39%,-3.32%
tight-equal_10x10_2,5847.47,_,5939.23,7,4065.27,1873.96,4022.45,1825.02,1885.25,1871.23,1866.92,-1.05%,-2.61%
loose-equal_10x2_1,277.35,_,382.32,14,69.42,312.9,40.09,237.26,224.84,224.84,224.84,-42.25%,-24.17%
loose-equal_10x2_2,474.55,_,718.67,14,592.89,125.78,351.53,123.02,323.43,319.37,319.37,-40.71%,-2.19%
loose-equal_10x5_1,3009.07,_,3200.96,8,399.71,2801.25,398.83,2610.24,1733.38,1738.05,1719.63,-0.22%,-6.82%
loose-equal_10x5_2,2208.18,_,2510.68,19,1087.65,1423.03,842.27,1365.91,968.89,967.73,967.73,-22.56%,-4.01%
loose-equal_10x10_1,5984.71,_,6057.01,9,6055.48,1.53,5983.18,1.53,366.77,365.81,364.39,-1.19%,0.0%
loose-equal_10x10_2,2217.09,_,2271.53,9,2271.11,0.42,2216.67,0.42,249.85,252.99,249.85,-2.4%,0.0%
tight-tard_10x2_1,236.74,_,311.85,22,87.29,224.56,51.6,185.14,179.46,179.46,179.46,-40.89%,-17.55%
tight-tard_10x2_2,373.67,_,445.83,23,150.62,295.21,120.57,253.1,145.37,145.37,145.37,-19.95%,-14.26%
tight-tard_10x5_1,774.32,_,854.85,20,487.24,367.61,442.74,331.58,380.82,380,379.19,-9.13%,-9.8%
tight-tard_10x5_2,1637.46,_,1685.8,15,87.58,1598.22,70.57,1566.89,627.45,628.68,627.45,-19.42%,-1.96%
tight-tard_10x10_1,2217.98,_,2259.53,6,671.38,1588.15,662.71,1555.27,717.85,746.03,668.14,-1.29%,-2.07%
tight-tard_10x10_2,2680.09,_,2816.44,13,2376.8,439.64,2363.1,316.99,780.82,785.79,777.85,-0.58%,-27.9%
loose-tard_10x2_1,496.41,_,545.87,13,56.87,489.0,39.33,457.08,416.44,416.44,416.44,-30.84%,-6.53%
loose-tard_10x2_2,273.15,_,352.99,21,138.09,214.9,89.94,183.21,137.94,137.94,137.94,-34.87%,-14.75%
loose-tard_10x5_1,889.79,_,918.4,14,917.2,1.2,888.59,1.2,175.08,175.08,175.08,-3.12%,0.0%
loose-tard_10x5_2,914.67,_,953.42,7,104.03,849.39,95.02,819.65,525.88,499.93,485.06,-8.66%,-3.5%
loose-tard_10x10_1,1612.23,_,1667.25,12,1574.06,93.19,1519.04,93.19,383.84,380.26,374.2,-3.5%,0.0%
loose-tard_10x10_2,737.38,_,752.39,11,744.02,8.37,729.01,8.37,144.94,144.94,144.94,-2.02%,0.0%
tight-equal_15x2_1,5657.03,_,6450.84,31,242.51,6208.33,107.15,5549.88,3344.54,3344.54,3344.54,-55.82%,-10.61%
tight-equal_15x2_2,2004.74,_,2074.23,13,5.3,2068.93,5.3,1999.44,1479.76,1479.76,1479.76,0.0%,-3.36%
tight-equal_15x5_1,2738.58,_,2937.01,34,523.83,2413.18,358.81,2379.77,1369.06,1345.21,1342.3,-31.5%,-1.38%
tight-equal_15x5_2,5031.54,_,5426.41,28,148.28,5278.13,98.85,4932.69,2630.06,2709.13,2641.28,-33.34%,-6.54%
tight-equal_15x10_1,15245.9,_,15494.1,12,68.3,15425.8,59.8,15186.1,7380.76,8120.43,6820.87,-12.45%,-1.55%
tight-equal_15x10_2,10765.1,_,10942.5,16,1497.38,9445.1,1361.26,9403.87,4893.44,4966.34,4760.48,-9.09%,-0.44%
loose-equal_15x2_1,1340.0,_,1497.56,20,31.54,1466.02,19.04,1320.96,1041.33,1041.33,1041.33,-39.63%,-9.89%
loose-equal_15x2_2,527.87,_,988.9,49,564.49,424.41,215.1,312.77,497.97,514.72,512.54,-61.89%,-26.3%
loose-equal_15x5_1,5255.71,_,5815.11,38,585.41,5229.7,439.71,4816.0,3220.16,3321.54,3272.46,-24.89%,-7.91%
loose-equal_15x5_2,5429.89,_,5926.45,32,1509.73,4416.72,1167.31,4262.58,3357.53,3310.27,3260.81,-22.68%,-3.49%
loose-equal_15x10_1,3477.79,_,3573.43,17,2999.39,574.04,2916.92,560.87,1008.28,977.43,906.49,-2.75%,-2.29%
loose-equal_15x10_2,7618.68,_,7731.91,17,7618.64,113.27,7509.8,108.88,1720.18,1584.44,1487.33,-1.43%,-3.88%
tight-tard_15x2_1,1073.32,_,1239.61,37,158.51,1081.1,82.11,991.21,790.5,790.66,790.5,-48.2%,-8.31%
tight-tard_15x2_2,961.44,_,1163.03,33,18.7,1144.33,12.48,948.96,905.37,905.37,905.37,-33.26%,-17.07%
tight-tard_15x5_1,2595.37,_,2689.85,38,127.42,2562.43,99.61,2495.76,1371.37,1476.65,1359.18,-21.83%,-2.6%
tight-tard_15x5_2,1676.65,_,1771.65,49,419.97,1351.68,338.82,1337.83,691.1,725.72,681.27,-19.32%,-1.02%
tight-tard_15x10_1,2136.1,_,2211.08,45,2154.13,56.95,2091.39,44.71,800.87,832.08,767.26,-2.91%,-21.49%
tight-tard_15x10_2,4424.31,_,4628.42,21,426.53,4201.89,402.21,4022.1,1310.04,1452.9,1224.82,-5.7%,-4.28%
loose-tard_15x2_1,689.95,_,935.74,35,39.18,896.56,20.42,669.53,654.84,654.84,654.84,-47.88%,-25.32%
loose-tard_15x2_2,323.58,_,515.61,49,352.33,163.28,198.0,125.58,279.71,297.54,285.16,-43.8%,-23.09%
loose-tard_15x5_1,2829.01,_,2937.41,22,351.11,2586.3,315.21,2513.8,1320.93,1315.47,1281,-10.22%,-2.8%
loose-tard_15x5_2,807.35,_,887.54,34,848.15,39.39,771.88,35.47,239.47,335.55,328.26,-8.99%,-9.95%
loose-tard_15x10_1,1597.51,_,1635.62,29,1574.0,61.62,1537.27,60.24,297.19,296.6,277,-2.33%,-2.24%
loose-tard_15x10_2,2730.0,_,2809.5,16,395.13,2414.37,380.4,2349.6,713.97,664.13,601.24,-3.73%,-2.68%
tight-equal_20x2_1,2004.14,_,2362.36,61,25.46,2336.9,14.16,1989.98,1937.49,1939.11,1936.45,-44.38%,-14.85%
tight-equal_20x2_2,1206.35,_,1347.71,36,144.88,1202.83,60.21,1146.14,941.69,959.65,943.7,-58.44%,-4.71%
tight-equal_20x5_1,4681.26,_,5477.57,94,2460.86,3016.71,1870.05,2811.21,2866.94,2935.95,2865.95,-24.01%,-6.81%
tight-equal_20x5_2,9197.84,_,9636.16,35,38.31,9597.85,31.75,9166.09,6741.16,6964.32,6613.62,-17.12%,-4.5%
tight-equal_20x10_1,19856.9,_,20284.2,38,565.39,19718.8,488.97,19367.9,10607.2,11073.1,10378.8,-13.52%,-1.78%
tight-equal_20x10_2,13841.5,_,14247.3,33,5255.64,8991.69,5042.39,8799.09,7310.32,7317.74,6839.3,-4.06%,-2.14%
loose-equal_20x2_1,2581.17,_,3336.11,70,33.54,3302.57,20.06,2561.11,2548.95,2551.22,2548.95,-40.19%,-22.45%
loose-equal_20x2_2,3427.53,_,4080.6,45,378.11,3702.49,93.23,3334.3,3069.13,3070.16,3069.13,-75.34%,-9.94%
loose-equal_20x5_1,13655.3,_,15379.3,72,746.09,14633.2,448.61,13206.7,7545.44,7758.02,7524.13,-39.87%,-9.75%
loose-equal_20x5_2,11968.9,_,12663.8,48,1064.94,11598.8,875.13,11093.8,7252.81,7302.01,7059.38,-17.82%,-4.35%
loose-equal_20x10_1,16977.3,_,17540.4,52,2664.32,14876.1,2299.81,14677.5,5260.48,5476.47,4651.31,-13.68%,-1.34%
loose-equal_20x10_2,6005.19,_,6272.51,45,1336.57,4935.94,1244.43,4760.76,1987.65,1718.08,1597.89,-6.89%,-3.55%
tight-tard_20x2_1,2250.66,_,2562.77,54,164.95,2397.82,106.11,2144.55,1671.87,1682.94,1674.6,-35.67%,-10.56%
tight-tard_20x2_2,2336.74,_,2731.76,70,460.75,2271.01,283.82,2052.92,1448.66,1459.57,1451.61,-38.4%,-9.6%
tight-tard_20x5_1,5253.45,_,5665.17,70,86.51,5578.66,70.75,5182.7,3672.18,3669.09,3620.61,-18.22%,-7.1%
tight-tard_20x5_2,3414.61,_,3753.47,83,736.76,3016.71,620.17,2794.44,1858.19,1976.11,1792.78,-15.82%,-7.37%
tight-tard_20x10_1,13075.2,_,13400.7,55,466.58,12934.1,404.58,12670.6,3853.81,5536.64,4445.59,-13.29%,-2.04%
tight-tard_20x10_2,11230.4,_,11719.8,65,1662.42,10057.4,1561.24,9669.11,3358.61,3245.9,3085.54,-6.09%,-3.86%
loose-tard_20x2_1,1500.78,_,1979.16,72,230.61,1748.55,130.09,1370.69,1206.97,1205.59,1206.4,-43.59%,-21.61%
loose-tard_20x2_2,990.19,_,1388.35,59,67.02,1321.33,45.97,944.22,769.35,790.12,769.35,-31.41%,-28.54%
loose-tard_20x5_1,7181.93,_,7820.26,47,400.79,7419.47,356.07,6825.86,2938.24,3517.2,2931.11,-11.16%,-8.0%
loose-tard_20x5_2,7613.14,_,8418.05,67,86.28,8331.77,73.51,7539.63,3722.61,3684.67,3627.51,-14.8%,-9.51%
loose-tard_20x10_1,13876.6,_,14406.5,55,250.51,14156.0,235.08,13641.6,5093.89,5478.21,4817.32,-6.16%,-3.63%
loose-tard_20x10_2,4535.2,_,4797.28,58,2870.56,1926.72,2717.07,1818.13,1570.64,1599.55,1401.28,-5.35%,-5.64%
