index,instancia,N5,N7 (apos N5),t(s.),S0,iteracoes,earliness0,tardiness0,earliness,tardiness,S Dos Santos(2010),S Wang & Li(2014),S Ahmadian (2021)
0,tight-equal_10x2_1,-174.20%,-134.14%,_,-176.77%,7,10.48%,-87.25%,36.31%,-70.45%,0.00%,0.00%,0.00%
1,tight-equal_10x2_2,-32.82%,-16.86%,_,-32.82%,4,95.01%,-27.83%,95.01%,-11.87%,0.00%,0.00%,0.00%
2,tight-equal_10x5_1,-156.44%,-156.44%,_,-168.33%,1,-39.36%,-28.98%,-31.07%,-25.37%,0.00%,0.00%,0.00%
3,tight-equal_10x5_2,-89.06%,-89.06%,_,-89.06%,1,86.11%,-75.17%,86.11%,-75.17%,-0.95%,-0.10%,0.00%
4,tight-equal_10x10_1,-237.53%,-235.14%,_,-246.27%,2,64.30%,-210.57%,65.82%,-200.96%,0.00%,-0.09%,0.00%
5,tight-equal_10x10_2,-216.97%,-216.97%,_,-218.13%,1,-117.75%,-0.38%,-116.60%,-0.38%,-0.98%,-0.23%,0.00%
6,loose-equal_10x2_1,-64.31%,-44.12%,_,-70.04%,3,69.12%,-39.17%,73.16%,-17.27%,0.00%,0.00%,0.00%
7,loose-equal_10x2_2,-122.30%,-84.73%,_,-125.03%,4,-85.64%,60.62%,-46.21%,61.48%,-1.27%,0.00%,0.00%
8,loose-equal_10x5_1,-84.56%,-69.81%,_,-86.14%,3,76.76%,-62.90%,76.76%,-46.57%,-0.80%,-1.07%,0.00%
9,loose-equal_10x5_2,-155.65%,-155.65%,_,-159.44%,1,-12.39%,-47.05%,-12.39%,-43.26%,-0.12%,0.00%,0.00%
10,loose-equal_10x10_1,-1548.87%,-1548.87%,_,-1562.23%,1,-1561.81%,99.58%,-1548.45%,99.58%,-0.65%,-0.39%,0.00%
11,loose-equal_10x10_2,-809.16%,-809.16%,_,-809.16%,1,-808.99%,99.83%,-808.99%,99.83%,0.00%,-1.26%,0.00%
12,tight-tard_10x2_1,-73.77%,-48.73%,_,-73.77%,4,51.36%,-25.13%,51.36%,-0.09%,0.00%,0.00%,0.00%
13,tight-tard_10x2_2,-196.87%,-120.11%,_,-206.69%,5,-3.61%,-103.07%,-12.64%,-7.47%,0.00%,0.00%,0.00%
14,tight-tard_10x5_1,-113.98%,-113.98%,_,-125.44%,1,-28.49%,3.05%,-26.32%,12.34%,-0.43%,-0.21%,0.00%
15,tight-tard_10x5_2,-162.95%,-162.95%,_,-168.67%,1,86.04%,-154.72%,86.90%,-149.85%,0.00%,-0.20%,0.00%
16,tight-tard_10x10_1,-236.18%,-236.18%,_,-238.18%,1,-0.48%,-137.70%,-0.48%,-135.70%,-7.44%,-11.66%,0.00%
17,tight-tard_10x10_2,-249.50%,-245.59%,_,-262.08%,2,-205.56%,43.48%,-204.84%,59.25%,-0.38%,-1.02%,0.00%
18,loose-tard_10x2_1,-29.77%,-22.87%,_,-31.08%,6,86.34%,-17.42%,87.93%,-10.80%,0.00%,0.00%,0.00%
19,loose-tard_10x2_2,-147.39%,-67.78%,_,-155.90%,3,-0.11%,-55.79%,-3.52%,35.75%,0.00%,0.00%,0.00%
20,loose-tard_10x5_1,-424.56%,-420.23%,_,-424.56%,3,-423.87%,99.31%,-419.54%,99.31%,0.00%,0.00%,0.00%
21,loose-tard_10x5_2,-93.90%,-93.90%,_,-96.56%,1,78.55%,-75.11%,78.55%,-72.45%,-8.42%,-3.07%,0.00%
22,loose-tard_10x10_1,-343.40%,-343.40%,_,-345.55%,1,-320.65%,75.10%,-318.50%,75.10%,-2.58%,-1.62%,0.00%
23,loose-tard_10x10_2,-419.10%,-419.10%,_,-419.10%,1,-413.33%,94.23%,-413.33%,94.23%,0.00%,0.00%,0.00%
24,tight-equal_15x2_1,-89.16%,-41.76%,_,-92.88%,5,92.75%,-85.63%,96.23%,-37.99%,0.00%,0.00%,0.00%
25,tight-equal_15x2_2,-40.17%,-20.05%,_,-40.17%,5,99.64%,-39.82%,99.43%,-19.48%,0.00%,0.00%,0.00%
26,tight-equal_15x5_1,-117.54%,-117.54%,_,-118.80%,1,60.98%,-79.78%,61.04%,-78.57%,-1.99%,-0.22%,0.00%
27,tight-equal_15x5_2,-103.25%,-102.45%,_,-106.32%,2,94.36%,-100.68%,94.71%,-97.16%,0.00%,-3.01%,-0.43%
28,tight-equal_15x10_1,-126.56%,-124.32%,_,-127.16%,2,99.00%,-126.16%,99.00%,-123.32%,-8.21%,-19.05%,0.00%
29,tight-equal_15x10_2,-129.68%,-129.68%,_,-129.86%,1,68.55%,-98.41%,68.73%,-98.41%,-2.79%,-4.32%,0.00%
30,loose-equal_15x2_1,-42.07%,-37.52%,_,-43.81%,4,96.97%,-40.78%,97.94%,-35.45%,0.00%,0.00%,0.00%
31,loose-equal_15x2_2,-97.58%,-73.17%,_,-98.59%,8,-13.36%,14.77%,10.52%,16.32%,0.00%,-3.36%,-2.93%
32,loose-equal_15x5_1,-78.53%,-67.70%,_,-80.58%,2,81.82%,-62.40%,82.62%,-50.31%,0.00%,-3.15%,-1.62%
33,loose-equal_15x5_2,-81.36%,-73.29%,_,-81.75%,7,53.70%,-35.45%,54.52%,-27.81%,-2.97%,-1.52%,0.00%
34,loose-equal_15x10_1,-294.07%,-292.38%,_,-294.21%,3,-230.88%,36.67%,-231.34%,38.96%,-11.23%,-7.83%,0.00%
35,loose-equal_15x10_2,-419.85%,-419.73%,_,-419.85%,2,-412.24%,92.38%,-412.33%,92.60%,-15.66%,-6.53%,0.00%
36,tight-tard_15x2_1,-56.61%,-36.94%,_,-56.81%,3,79.95%,-36.76%,80.15%,-17.10%,0.00%,-0.02%,0.00%
37,tight-tard_15x2_2,-28.38%,-22.41%,_,-28.46%,4,97.93%,-26.39%,98.02%,-20.43%,0.00%,0.00%,0.00%
38,tight-tard_15x5_1,-97.73%,-92.54%,_,-97.90%,2,90.63%,-88.53%,90.79%,-83.33%,-0.90%,-8.64%,0.00%
39,tight-tard_15x5_2,-158.35%,-158.35%,_,-160.05%,1,38.35%,-98.41%,39.41%,-97.76%,-1.44%,-6.52%,0.00%
40,tight-tard_15x10_1,-184.46%,-184.46%,_,-188.18%,1,-180.76%,92.58%,-178.58%,94.12%,-4.38%,-8.45%,0.00%
41,tight-tard_15x10_2,-277.83%,-268.13%,_,-277.89%,2,65.18%,-243.06%,65.23%,-233.36%,-6.96%,-18.62%,0.00%
42,loose-tard_15x2_1,-42.13%,-41.02%,_,-42.90%,4,94.02%,-36.91%,95.93%,-36.95%,0.00%,0.00%,0.00%
43,loose-tard_15x2_2,-82.55%,-69.96%,_,-84.34%,5,-25.96%,41.63%,-14.34%,44.38%,0.00%,-6.37%,-1.95%
44,loose-tard_15x5_1,-129.31%,-110.51%,_,-129.31%,2,72.59%,-101.90%,72.59%,-83.11%,-3.12%,-2.69%,0.00%
45,loose-tard_15x5_2,-259.37%,-252.15%,_,-270.63%,2,-254.18%,83.55%,-237.34%,85.19%,0.00%,-40.12%,-37.08%
46,loose-tard_15x10_1,-490.44%,-490.44%,_,-490.48%,1,-468.23%,77.75%,-468.03%,77.60%,-7.29%,-7.08%,0.00%
47,loose-tard_15x10_2,-367.28%,-358.34%,_,-367.28%,3,34.28%,-301.57%,34.28%,-292.62%,-18.75%,-10.46%,0.00%
48,tight-equal_20x2_1,-21.99%,-18.18%,_,-21.99%,6,98.69%,-20.68%,98.69%,-16.87%,-0.05%,-0.14%,0.00%
49,tight-equal_20x2_2,-42.60%,-37.86%,_,-43.12%,4,84.61%,-27.73%,86.41%,-24.27%,0.00%,-1.91%,-0.21%
50,tight-equal_20x5_1,-86.48%,-86.48%,_,-91.13%,1,14.13%,-5.26%,16.36%,-2.83%,-0.03%,-2.44%,0.00%
51,tight-equal_20x5_2,-45.70%,-45.60%,_,-45.70%,2,99.42%,-45.12%,99.38%,-44.98%,-1.93%,-5.30%,0.00%
52,tight-equal_20x10_1,-95.43%,-95.27%,_,-95.44%,3,94.55%,-89.99%,94.55%,-89.82%,-2.20%,-6.69%,0.00%
53,tight-equal_20x10_2,-107.51%,-107.26%,_,-108.32%,3,23.16%,-31.47%,23.55%,-30.81%,-6.89%,-7.00%,0.00%
54,loose-equal_20x2_1,-30.81%,-27.01%,_,-30.88%,7,98.68%,-29.57%,98.97%,-25.98%,0.00%,-0.09%,0.00%
55,loose-equal_20x2_2,-32.70%,-27.65%,_,-32.96%,2,87.68%,-20.64%,92.74%,-20.39%,0.00%,-0.03%,0.00%
56,loose-equal_20x5_1,-100.41%,-97.32%,_,-104.40%,6,90.08%,-94.48%,91.34%,-88.67%,-0.28%,-3.11%,0.00%
57,loose-equal_20x5_2,-77.33%,-77.33%,_,-79.39%,1,84.91%,-64.30%,85.01%,-62.34%,-2.74%,-3.44%,0.00%
58,loose-equal_20x10_1,-275.89%,-275.89%,_,-277.11%,1,42.72%,-219.83%,42.79%,-218.69%,-13.10%,-17.74%,0.00%
59,loose-equal_20x10_2,-291.71%,-290.82%,_,-292.55%,4,16.35%,-208.90%,16.35%,-207.18%,-24.39%,-7.52%,0.00%
60,tight-tard_20x2_1,-53.07%,-46.60%,_,-53.29%,4,90.13%,-43.42%,90.35%,-36.95%,0.00%,-0.66%,-0.16%
61,tight-tard_20x2_2,-87.73%,-75.04%,_,-88.57%,6,68.19%,-56.77%,71.60%,-46.65%,0.00%,-0.75%,-0.20%
62,tight-tard_20x5_1,-56.46%,-53.97%,_,-56.47%,3,97.61%,-54.08%,97.62%,-51.59%,-1.42%,-1.34%,0.00%
63,tight-tard_20x5_2,-104.89%,-104.89%,_,-109.37%,1,58.90%,-68.27%,59.50%,-64.39%,-3.65%,-10.23%,0.00%
64,tight-tard_20x10_1,-247.66%,-244.21%,_,-247.73%,2,87.89%,-235.62%,87.93%,-232.14%,0.00%,-43.67%,-15.36%
65,tight-tard_20x10_2,-275.98%,-271.88%,_,-279.83%,3,46.12%,-225.95%,46.34%,-218.22%,-8.85%,-5.20%,0.00%
66,loose-tard_20x2_1,-63.55%,-46.65%,_,-64.17%,10,80.87%,-45.04%,86.39%,-33.04%,-0.11%,0.00%,-0.07%
67,loose-tard_20x2_2,-80.21%,-56.85%,_,-80.46%,10,91.29%,-71.75%,92.93%,-49.77%,0.00%,-2.70%,0.00%
68,loose-tard_20x5_1,-166.80%,-147.28%,_,-166.80%,7,86.33%,-153.13%,86.33%,-133.60%,-0.24%,-20.00%,0.00%
69,loose-tard_20x5_2,-130.40%,-128.21%,_,-132.06%,3,97.62%,-129.68%,97.62%,-125.84%,-2.62%,-1.58%,0.00%
70,loose-tard_20x10_1,-198.16%,-198.16%,_,-199.06%,1,94.80%,-193.86%,94.81%,-192.98%,-5.74%,-13.72%,0.00%
71,loose-tard_20x10_2,-241.00%,-241.00%,_,-242.35%,1,-104.85%,-37.50%,-103.50%,-37.50%,-12.09%,-14.15%,0.00%
