Instância,S0,S1,S2,EA0,TD0,EA,TD,AE,VNS/MP,VNS
tight-equal_10x2_1,947.62,639.2,630.71,417.72,529.9,125.63,505.08,463.58,461.96,461.96
tight-equal_10x2_2,580.1,503.18,503.18,22.37,557.73,14.67,488.51,448.32,448.32,448.32
tight-equal_10x5_1,1901.91,974.51,1066.72,1031.44,870.47,606.33,460.39,765.35,689.11,689.11
tight-equal_10x5_2,2401.28,883.34,868.79,109.9,2291.38,82.73,786.06,779.52,763.24,763.24
tight-equal_10x10_1,9898.88,1994.73,1993.95,507.23,9391.65,470.4,1523.55,1281.66,1277.44,1276.23
tight-equal_10x10_2,7004.38,3510.69,3138.46,4306.38,2698.0,1822.61,1315.85,2175.22,1878.26,1866.92
loose-equal_10x2_1,360.7,261.94,261.94,69.42,291.28,40.09,221.85,224.84,224.84,224.84
loose-equal_10x2_2,833.04,430.26,430.26,664.95,168.09,264.15,166.11,331.08,319.37,319.37
loose-equal_10x5_1,3151.45,2400.38,2387.35,507.69,2643.76,293.36,2093.99,1740.08,1774.39,1719.63
loose-equal_10x5_2,2510.57,1334.67,1422.84,1121.2,1389.37,723.72,699.12,1045.76,967.73,967.73
loose-equal_10x10_1,5273.4,1999.64,1433.61,5094.51,178.89,1045.62,387.99,763.84,364.39,364.39
loose-equal_10x10_2,3079.21,762.31,745.46,2169.32,909.89,497.89,247.57,343.12,249.85,249.85
tight-tard_10x2_1,296.5,232.18,232.18,87.29,209.21,52.56,179.62,179.68,179.46,179.46
tight-tard_10x2_2,293.59,185.6,189.51,219.27,74.32,126.89,62.62,146.43,145.37,145.37
tight-tard_10x5_1,934.09,510.25,541.83,535.44,398.65,398.03,143.8,410.16,387.30,379.19
tight-tard_10x5_2,1571.65,682.3,681.4,95.17,1476.48,109.76,571.64,632.91,635.93,627.45
tight-tard_10x10_1,3489.31,1034.6,1113.38,670.65,2818.66,622.24,491.14,777.25,687.65,668.14
tight-tard_10x10_2,4669.18,1633.78,1575.89,1636.85,3032.33,1006.23,569.66,1031.13,779.30,777.85
loose-tard_10x2_1,502.66,441.46,441.46,55.92,446.74,41.37,400.09,416.44,416.44,416.44
loose-tard_10x2_2,306.41,192.61,190.6,158.13,148.28,122.64,67.96,143.0,137.94,137.94
loose-tard_10x5_1,838.99,505.92,395.82,834.13,4.86,342.16,53.66,259.02,175.08,175.08
