S,S1
908.02,812.15
509.89,509.89
1619.82,1095.52
1382.76,1362.6
4267.48,4072.81
5847.47,2870.02
275.12,275.12
474.55,474.55
3000.41,2715.32
2208.18,1632.64
5984.71,905.2
2217.09,547.33
235.97,235.52
373.67,319.93
774.32,563.42
1637.46,1658.72
2204.34,2099.27
2680.09,1319.68
496.29,490.35
273.15,242.36
886.09,417.55
914.67,866.71
1612.23,815.23
737.38,420.62
5657.03,5718.33
2004.74,2004.41
2738.58,2593.06
5031.54,5017.43
15225.6,15494.1
10765.1,10237.8
1340.0,1336.77
523.69,523.69
5255.71,5076.48
5429.89,5022.12
3445.1,1873.54
7614.68,4357.08
1073.32,1079.93
954.31,954.31
2595.37,2568.19
1676.65,1568.08
2135.8,1666.31
4424.31,4219.47
689.95,689.95
323.58,323.58
2817.27,2727.57
779.81,509.44
1597.51,613.82
2700.12,2515.42
1995.21,1995.21
1160.32,1159.82
4676.24,4249.86
9169.62,9165.01
19856.9,19654.3
13841.5,11765.2
2581.17,2581.17
3427.53,3427.53
13636.9,13538.0
11968.9,11571.5
16977.3,15834.4
5983.57,5155.48
2250.66,2229.53
2336.74,2336.0
5253.45,5232.48
3414.61,3320.29
13075.2,12855.0
11230.4,10351.2
1500.78,1500.78
990.19,985.94
7181.93,7050.5
7613.14,7668.47
13870.2,13808.7
4535.2,3332.56
